TagID,TagName,Description,TagType,TagDataType,MaxRawValue,MinRawValue,MaxValue,MinValue,NonLinearTableName,ConvertType,IsFilter,DeadBand,Unit,ChannelName,DeviceName,ChannelDriver,DeviceSeries,DeviceSeriesType,CollectControl,CollectInterval,CollectOffset,TimeZoneBias,TimeAdjustment,Enable,ForceWrite,ItemName,RegName,RegType,ItemDataType,ItemAccessMode,HisRecordMode,HisDeadBand,HisInterval,TagGroup,NamespaceIndex,IdentifierType,Identifier,ValueRank,QueueSize,DiscardOldest,MonitoringMode,TriggerMode,DeadType,DeadValue,UANodePath
1001,M0101_C_MAN,设备1手动按钮,用户变量,IODisc,,,,,,,,,,以太网<192.168.10.11>,PLC1,S71500Tcp,S7-1500,0,否,1000,0,0,0,是,否,DB3.0.0,DB,3,BIT,读写,不记录,0,60,TEST.一期,0,0,,-1,1,0,0,0,0,0,
1002,M0101_C_AUT,设备1自动按钮,用户变量,IODisc,,,,,,,,,,以太网<192.168.10.11>,PLC1,S71500Tcp,S7-1500,0,否,1000,0,0,0,是,否,DB3.0.1,DB,3,BIT,读写,不记录,0,60,TEST.一期,0,0,,-1,1,0,0,0,0,0,
1003,M0101_C_OP,设备1开阀按钮,用户变量,IODisc,,,,,,,,,,以太网<192.168.10.11>,PLC1,S71500Tcp,S7-1500,0,否,1000,0,0,0,是,否,DB3.0.2,DB,3,BIT,读写,不记录,0,60,TEST.一期,0,0,,-1,1,0,0,0,0,0,
1004,M0101_C_CL,设备1关阀按钮,用户变量,IODisc,,,,,,,,,,以太网<192.168.10.11>,PLC1,S71500Tcp,S7-1500,0,否,1000,0,0,0,是,否,DB3.0.3,DB,3,BIT,读写,不记录,0,60,TEST.一期,0,0,,-1,1,0,0,0,0,0,
1005,M0101_C_SP,设备1停止按钮,用户变量,IODisc,,,,,,,,,,以太网<192.168.10.11>,PLC1,S71500Tcp,S7-1500,0,否,1000,0,0,0,是,否,DB3.0.4,DB,3,BIT,读写,不记录,0,60,TEST.一期,0,0,,-1,1,0,0,0,0,0,
1006,M0101_C_RST,设备1复位按钮,用户变量,IODisc,,,,,,,,,,以太网<192.168.10.11>,PLC1,S71500Tcp,S7-1500,0,否,1000,0,0,0,是,否,DB3.0.5,DB,3,BIT,读写,不记录,0,60,TEST.一期,0,0,,-1,1,0,0,0,0,0,
1007,M0101_W_T_FLT,设备1超时设定(S),用户变量,IOShort,32767,-32767,32767,-32767,,无,否,0,,以太网<192.168.10.11>,PLC1,S71500Tcp,S7-1500,0,否,1000,0,0,0,是,否,DB3.2,DB,3,SHORT,只读,不记录,0,60,TEST.一期,0,0,,-1,1,0,0,0,0,0,
1008,M0101_S_REM,设备1就地/远程模式,用户变量,IODisc,,,,,,,,,,以太网<192.168.10.11>,PLC1,S71500Tcp,S7-1500,0,否,1000,0,0,0,是,否,DB3.4.0,DB,3,BIT,读写,不记录,0,60,TEST.一期,0,0,,-1,1,0,0,0,0,0,
1009,M0101_S_AUT,设备1手动/自动模式,用户变量,IODisc,,,,,,,,,,以太网<192.168.10.11>,PLC1,S71500Tcp,S7-1500,0,否,1000,0,0,0,是,否,DB3.4.1,DB,3,BIT,读写,不记录,0,60,TEST.一期,0,0,,-1,1,0,0,0,0,0,
1010,M0101_S_ZIO,设备1全开状态,用户变量,IODisc,,,,,,,,,,以太网<192.168.10.11>,PLC1,S71500Tcp,S7-1500,0,否,1000,0,0,0,是,否,DB3.4.2,DB,3,BIT,读写,不记录,0,60,TEST.一期,0,0,,-1,1,0,0,0,0,0,
1011,M0101_S_ZIC,设备1全关状态,用户变量,IODisc,,,,,,,,,,以太网<192.168.10.11>,PLC1,S71500Tcp,S7-1500,0,否,1000,0,0,0,是,否,DB3.4.3,DB,3,BIT,读写,不记录,0,60,TEST.一期,0,0,,-1,1,0,0,0,0,0,
1012,M0101_S_PSO,设备1开过程状态,用户变量,IODisc,,,,,,,,,,以太网<192.168.10.11>,PLC1,S71500Tcp,S7-1500,0,否,1000,0,0,0,是,否,DB3.4.4,DB,3,BIT,读写,不记录,0,60,TEST.一期,0,0,,-1,1,0,0,0,0,0,
1013,M0101_S_PSC,设备1关过程状态,用户变量,IODisc,,,,,,,,,,以太网<192.168.10.11>,PLC1,S71500Tcp,S7-1500,0,否,1000,0,0,0,是,否,DB3.4.5,DB,3,BIT,读写,不记录,0,60,TEST.一期,0,0,,-1,1,0,0,0,0,0,
